Ticker,Name,ISO2,ISO3,Flagship
.DJI,Dow Jones,US,USA,FALSE
.INX,S&P 500,US,USA,TRUE
.IXIC,NASDAQ,US,USA,FALSE
INDEXSP:SP400,S&P 400,US,USA,FALSE
INDEXSP:SP600,S&P 600,US,USA,FALSE
RUT,Russell 2000,US,USA,FALSE
INDEXTSI:OSPTX,TSX Composite,CA,CAN,TRUE
INDEXTSI:TX20,TSX Small Cap,CA,CAN,FALSE
INDEXBVMF:IBOV,IBOVESPA,BR,BRA,TRUE
INDEXSTOXX:SX5E,STOXX 50,,,FALSE
INDEXFTSE:UKX,FTSE 100,GB,GBR,TRUE
INDEXEURO:PX1,CAC 40,FR,FRA,TRUE
INDEXDB:DAX,DAX,DE,DEU,TRUE
INDEXBME:INDI,IBEX 35,ES,ESP,TRUE
INDEXNASDAQ:OMXS30,OMX Stockholm 30,SW,SWE,TRUE
INDEXSWX:SMI,Swiss Market,CH,CHE,TRUE
INDEXTOPIX:TOPIX,TOPIX,JP,JPN,TRUE
INDEXNIKKEI:NI225,Nikkei 225,JP,JPN,FALSE
INDEXHANGSENG:HSI,HSI,HK,HKG,TRUE
INDEXHANGSENG:HSCEI,HSCEI,HK,HKG,FALSE
INDEXASX:XJO,S&P/ASX 200,AU,AUS,TRUE
NZE:NZ50G,S&P/NZX 50,NZ,NZL,TRUE
SHE:399001,SZSE Component,CN,CHN,TRUE
TPE:IX0001,TAIEX,TW,TWN,TRUE
KRX:KOSPI,KOSPI,KR,KOR,TRUE
INDEXNSE:NIFTY_50,NIFTY 50,IN,IND,TRUE
INDEXBOM:SENSEX,SENSEX,IN,IND,FALSE
IDX:COMPOSITE,IDX Composite,ID,IDN,TRUE
